Id,SalePrice
1461,129808.65
1462,141387.25
1463,181113.66
1464,194323.3
1465,186747.88
1466,171111.05
1467,168907.9
1468,169592.66
1469,185797.97
1470,121165.14
1471,190112.14
1472,94353.73
1473,98125.67
1474,154204.95
1475,129088.88
1476,340860.7
1477,278480.12
1478,283685.53
1479,190007.03
1480,492651.44
1481,301965.28
1482,212192.58
1483,188246.16
1484,163698.5
1485,187256.69
1486,209144.44
1487,303988.22
1488,249951.02
1489,202506.17
1490,214432.0
1491,193101.03
1492,86993.33
1493,186193.75
1494,305428.2
1495,284896.84
1496,221687.39
1497,177322.61
1498,160298.56
1499,155934.77
1500,163333.06
1501,188391.2
1502,160776.53
1503,270981.78
1504,215017.75
1505,230602.6
1506,215709.66
1507,245167.19
1508,215778.0
1509,162398.89
1510,143400.16
1511,144221.36
1512,176853.89
1513,147622.62
1514,167829.47
1515,175255.77
1516,163669.12
1517,159157.5
1518,131952.52
1519,226685.27
1520,133050.88
1521,143197.77
1522,160488.84
1523,104420.58
1524,123030.266
1525,124946.02
1526,130644.39
1527,108910.66
1528,140612.44
1529,148019.36
1530,170041.8
1531,118482.71
1532,91012.586
1533,156595.34
1534,112757.44
1535,168190.2
1536,113644.63
1537,53406.812
1538,184030.08
1539,218520.88
1540,97617.74
1541,146731.3
1542,144954.81
1543,231894.47
1544,75067.57
1545,105793.59
1546,145244.33
1547,136677.34
1548,134338.6
1549,119144.87
1550,154754.44
1551,78180.414
1552,132248.8
1553,174927.97
1554,124107.18
1555,176367.5
1556,96326.53
1557,129979.33
1558,82268.086
1559,88150.586
1560,157104.94
1561,150908.08
1562,131744.36
1563,117387.54
1564,139241.38
1565,143662.7
1566,218572.3
1567,72499.63
1568,228155.75
1569,132900.58
1570,140003.47
1571,132947.02
1572,141865.78
1573,221201.72
1574,106215.97
1575,202277.88
1576,235732.92
1577,198847.34
1578,155531.78
1579,143602.39
1580,186441.22
1581,154830.03
1582,126038.96
1583,356729.0
1584,219490.84
1585,142607.53
1586,72236.58
1587,98875.98
1588,144495.98
1589,105659.19
1590,121669.19
1591,100631.336
1592,112565.27
1593,118524.25
1594,144765.95
1595,98814.484
1596,230225.11
1597,178195.88
1598,219722.47
1599,171187.52
1600,179666.67
1601,77448.055
1602,113429.5
1603,89759.02
1604,275113.9
1605,246531.77
1606,163532.22
1607,137458.84
1608,201724.33
1609,187898.02
1610,160303.17
1611,147263.6
1612,150781.33
1613,151252.42
1614,117459.46
1615,85954.79
1616,75650.33
1617,84472.18
1618,127831.41
1619,151533.78
1620,113710.59
1621,134606.62
1622,148408.9
1623,297532.66
1624,239356.31
1625,132732.11
1626,168787.92
1627,190357.48
1628,284106.66
1629,186508.44
1630,347783.9
1631,209712.61
1632,232093.22
1633,178742.77
1634,193122.5
1635,184908.94
1636,150016.0
1637,157568.03
1638,211501.06
1639,166655.38
1640,259381.39
1641,165480.39
1642,218163.69
1643,199768.67
1644,227136.2
1645,193156.55
1646,157326.31
1647,156015.47
1648,127455.31
1649,143434.31
1650,112125.53
1651,121349.16
1652,89700.414
1653,92040.484
1654,149683.73
1655,142702.69
1656,146674.73
1657,145505.56
1658,148288.53
1659,130220.83
1660,151046.81
1661,496079.38
1662,397906.53
1663,385972.5
1664,452531.16
1665,291297.1
1666,347251.03
1667,358450.72
1668,323496.06
1669,287053.7
1670,297770.38
1671,245445.1
1672,537449.6
1673,297747.66
1674,256668.69
1675,185840.72
1676,192240.6
1677,211656.14
1678,503433.97
1679,437989.88
1680,286611.88
1681,255990.42
1682,312691.34
1683,178738.69
1684,167352.11
1685,171866.0
1686,173394.27
1687,175396.61
1688,195663.19
1689,201254.9
1690,194276.39
1691,182257.14
1692,287033.97
1693,172894.83
1694,186063.48
1695,166643.27
1696,252916.1
1697,170786.72
1698,375551.44
1699,329294.5
1700,260398.11
1701,252895.12
1702,254680.03
1703,246464.72
1704,311140.84
1705,227932.75
1706,440167.66
1707,231833.17
1708,208361.64
1709,273004.9
1710,213374.97
1711,263788.6
1712,199681.45
1713,241615.25
1714,220888.77
1715,207283.61
1716,172804.02
1717,159301.12
1718,125508.17
1719,213329.64
1720,272984.28
1721,156887.36
1722,124897.01
1723,159454.22
1724,198356.73
1725,238480.92
1726,199346.16
1727,170491.3
1728,181347.16
1729,178946.77
1730,171364.39
1731,126679.64
1732,136525.67
1733,120671.86
1734,125899.27
1735,132756.42
1736,114606.22
1737,360670.47
1738,209170.8
1739,241719.11
1740,227420.08
1741,188972.66
1742,167532.25
1743,172934.48
1744,262257.25
1745,205882.0
1746,253704.2
1747,220180.72
1748,215261.95
1749,157079.31
1750,133987.19
1751,221509.92
1752,117120.88
1753,130309.73
1754,218432.27
1755,166239.58
1756,119754.89
1757,122825.05
1758,147979.75
1759,172406.2
1760,165424.58
1761,151178.78
1762,150981.02
1763,172629.06
1764,113308.664
1765,161783.84
1766,163291.86
1767,217422.89
1768,138611.44
1769,168550.55
1770,146268.16
1771,125378.72
1772,136889.78
1773,148472.25
1774,123001.625
1775,135612.89
1776,134553.94
1777,122303.36
1778,133342.45
1779,105597.24
1780,176637.8
1781,127874.57
1782,88528.445
1783,145131.44
1784,111366.625
1785,115939.914
1786,150161.84
